File CliqueNumberSimpleGraphs_AtLeast.so Loaded. Core Name: CliqueNumberSimpleGraphs
File ChromaticNumber_AtMost.so Loaded. Core Name: ChromaticNumber
File HasMultipleEdges.so Loaded. Core Name: HasMultipleEdges
File MaxDegree_AtLeast.so Loaded. Core Name: MaxDegree
CONJECTURE: (( not x and ( not y and  not z)) implies w)
path_width 2
1 - Variable: w    NAME: ChromaticNumber               ParameterType: UnsignedInt 4
2 - Variable: x    NAME: MaxDegree                     ParameterType: UnsignedInt 5
3 - Variable: y    NAME: CliqueNumberSimpleGraphs      ParameterType: UnsignedInt 2
4 - Variable: z    NAME: HasMultipleEdges              ParameterType: ParameterLess
core size: 4
Search Method: ParallelBreadthFirstSearch
 Premise is ACTIVATED
Iteration                ALLSTATES                NEWSTATES                Max WITNESSSET SIZE
1                        4                        3                        1,1,2,1
2                        7                        3                        2,1,4,1
3                        11                       4                        5,1,8,1
4                        17                       6                        5,1,8,1
5                        26                       9                        5,1,8,1
6                        38                       12                       5,1,8,1
7                        53                       15                       5,1,9,1
8                        77                       24                       5,1,9,1
9                        101                      24                       5,1,9,1
10                       131                      30                       5,1,9,1
11                       176                      45                       5,1,9,1
12                       215                      39                       5,1,9,1
13                       260                      45                       5,1,9,1
14                       323                      63                       5,1,9,1
15                       377                      54                       5,1,9,1
16                       440                      63                       5,1,9,1
17                       518                      78                       5,1,9,1
18                       578                      60                       5,1,9,1
19                       650                      72                       5,1,9,1
20                       725                      75                       5,1,9,1
21                       770                      45                       5,1,9,1
22                       818                      48                       5,1,9,1
23                       860                      42                       5,1,9,1
24                       878                      18                       5,1,9,1
25                       902                      24                       5,1,9,1
26                       923                      21                       5,1,9,1
27                       935                      12                       5,1,9,1
28                       950                      15                       5,1,9,1
29                       959                      9                        5,1,9,1
30                       965                      6                        5,1,9,1
31                       971                      6                        5,1,9,1
32                       974                      3                        5,1,9,1
33                       977                      3                        5,1,9,1
34                       977                      0                        5,1,9,1
Conjecture: Satisfied
